state,broad_type,commodity,source_year,feature_count,area_ha
ACT,Animals,chickens,2015,1,5.23493003845
ACT,Flowers and bulbs,turf,2015,2,86.0375003815
ACT,Fruits,apples,2015,4,6.432459950439
ACT,Fruits,grapes wine,2015,9,150.76416964270464
ACT,Fruits,olives,2020,2,23.6859998703
ACT,Vegetables and herbs,truffles,2021,1,10.1079998016
ACT,Vegetables and herbs,truffles,2022,1,1.67967998981
NSW,Animals,alpacas,2017,6,79.76674956079
NSW,Animals,cattle,2017,206,5426.03437358544
NSW,Animals,cattle dairy,2017,912,2152.406017928559
NSW,Animals,chicken eggs,2017,3,25.687325553622
NSW,Animals,chickens,2017,721,3580.1350356213034
NSW,Animals,deer,2017,4,58.135109245764006
NSW,Animals,ducks,2017,2,5.9377601146700005
NSW,Animals,emus,2017,1,0.90818297863
NSW,Animals,horses,2017,1206,16418.577399088204
NSW,Animals,ostriches,2017,4,47.392627298761
NSW,Animals,pigs,2017,102,1222.4604478190356
NSW,Animals,sheep,2017,16,159.690175354522
NSW,Animals,turkeys,2017,1,8.84879970551
NSW,Cereals,rice,2017,2,102.14800262450001
NSW,Flowers and bulbs,cycads,2017,12,24.772599034048998
NSW,Flowers and bulbs,flowers and foliage,2017,9,50.566508054732004
NSW,Flowers and bulbs,palms,2017,26,28.289215035732
NSW,Flowers and bulbs,turf,2017,159,2502.7495880105257
NSW,Forest,christmas trees,2017,11,104.361955314818
NSW,Forest,eucalyptus oil,2017,19,902.60822260338
NSW,Forest,lemon myrtle,2017,11,26.272138208174
NSW,Forest,tea tree,2017,203,6528.420932029116
NSW,Fruits,apples,2017,6,55.390818417101
NSW,Fruits,apricots,2017,3,12.36669969558
NSW,Fruits,avocados,2022,45,148.134937345907
NSW,Fruits,avocados,2023,364,2155.446253836021
NSW,Fruits,bananas,2022,18,119.985797405172
NSW,Fruits,bananas,2023,178,744.014739990091
NSW,Fruits,blueberries,2017,381,2233.3154254263623
NSW,Fruits,cherries,2017,47,899.0033442393509
NSW,Fruits,citrus,2022,110,1380.285563766987
NSW,Fruits,citrus,2023,757,15142.100164145695
NSW,Fruits,custard apples,2017,18,41.437620669599
NSW,Fruits,dragon fruit,2017,10,9.979913055904
NSW,Fruits,grapes,2017,2551,47871.515774434934
NSW,Fruits,guavas,2017,3,19.56231069565
NSW,Fruits,lychees,2017,1,1.28533005714
NSW,Fruits,mangoes,2020,75,170.204406321017
NSW,Fruits,mangoes,2021,7,11.221947968006
NSW,Fruits,mangoes,2022,4,17.87828040122
NSW,Fruits,nectarines,2017,7,129.37183034425
NSW,Fruits,olives,2019,2,5.30247998237
NSW,Fruits,olives,2020,794,4922.487634778026
NSW,Fruits,olives,2021,129,1249.0295045969128
NSW,Fruits,olives,2022,6,55.60175871848
NSW,Fruits,passionfruit,2017,47,113.424182534236
NSW,Fruits,peaches,2017,2,104.8273420334
NSW,Fruits,pears,2017,1,0.815446019173
NSW,Fruits,plums,2017,1,1.93949997425
NSW,Fruits,pomegranate,2017,9,43.857414424462
NSW,Fruits,strawberries,2017,2,6.198071837421
NSW,Nuts,almonds,2017,33,4345.153396696934
NSW,Nuts,chestnuts,2017,5,56.55877947808
NSW,Nuts,hazelnuts,2017,5,2374.31535363357
NSW,Nuts,macadamias,2022,146,939.2914897203079
NSW,Nuts,macadamias,2023,1274,15063.02212792595
NSW,Nuts,pecans,2017,229,1646.4656987377227
NSW,Nuts,pistachios,2017,10,407.84509572774436
NSW,Nuts,walnuts,2017,12,1789.3719652685947
NSW,Oilseeds,jojoba,2017,7,224.655114233544
NSW,Other crops,coffee,2017,91,270.750400677256
NSW,Other crops,cotton,2017,851,87137.48353265338
NSW,Other crops,sugar cane,2017,1542,40591.50325987016
NSW,Other crops,tea,2017,5,31.812030673004
NSW,Vegetables and herbs,truffles,2019,1,1.86109995842
NSW,Vegetables and herbs,truffles,2020,11,26.70706045627
NSW,Vegetables and herbs,truffles,2021,21,66.159036755605
NSW,Vegetables and herbs,truffles,2022,4,6.662950038912999
NSW,Vegetables and herbs,truffles,2023,4,6.8771119117729995
NSW,Vegetables and herbs,vegetables,2017,91,737.0603494064092
NT,Animals,cattle meat,1967,3,24479.1955413856
NT,Animals,cattle meat,1968,18,1097.6179037091
NT,Animals,cattle meat,1969,21,1969.7806091307
NT,Animals,cattle meat,1970,5,614.0085029598
NT,Animals,cattle meat,1971,74,107990.18659446402
NT,Animals,cattle meat,1972,2,1436.0650024410002
NT,Animals,cattle meat,1973,39,3986.0843992232
NT,Animals,cattle meat,1979,325,65067.28963483821
NT,Animals,cattle meat,1980,4,725.3482952115
NT,Animals,cattle meat,1983,15,13979.968500143801
NT,Animals,cattle meat,1984,45,117142.866161597
NT,Animals,cattle meat,1985,76,71545.75938593829
NT,Animals,cattle meat,1986,12,5047.2343044253
NT,Animals,cattle meat,1987,1,30.6972007751
NT,Animals,cattle meat,1997,122,193615.35603645572
NT,Animals,cattle meat,2002,2,974.0842208863
NT,Animals,cattle meat,2008,5,461.3644924168
NT,Animals,cattle meat,2009,2,129.4349975589
NT,Animals,cattle meat,2010,5,153919.58129394008
NT,Animals,cattle meat,2011,1,0.63381499052
NT,Animals,cattle meat,2012,2,1.522253960374
NT,Animals,cattle meat,2013,2,7.839236795899001
NT,Animals,cattle meat,2014,180,732526.9303499776
NT,Animals,cattle meat,2015,232,576700.5604729097
NT,Animals,cattle meat,2016,5791,56335416.34108221
NT,Animals,cattle meat,2017,32,87251.20125537548
