SA2_CODE21,SA2_NAME21,STE_CODE21,SD_CODE11,SD_NAME11,SD_STATE_CODE,allocation_ratio,is_split_sa2,n_sd_overlaps
501011001,Augusta,5,510,South West,5,1.0,False,1
501011003,Busselton Surrounds,5,510,South West,5,1.0,False,1
501011004,Margaret River,5,510,South West,5,1.0,False,1
501011293,Busselton - East,5,510,South West,5,1.0,False,1
501011294,Busselton - West,5,510,South West,5,1.0,False,1
501021005,Australind - Leschenault,5,510,South West,5,1.0,False,1
501021007,Capel,5,510,South West,5,1.0,False,1
501021008,College Grove - Carey Park,5,510,South West,5,1.0,False,1
501021009,Collie,5,510,South West,5,0.9999389330229866,True,2
501021009,Collie,5,520,Upper Great Southern,5,6.106697701333811e-05,True,2
501021010,Dardanup,5,510,South West,5,1.0,False,1
501021011,Davenport,5,510,South West,5,1.0,False,1
501021012,Eaton - Pelican Point,5,510,South West,5,1.0,False,1
501021014,Harvey,5,510,South West,5,1.0,False,1
501021015,East Bunbury - Glen Iris,5,510,South West,5,1.0,False,1
501021016,Waroona,5,510,South West,5,1.0,False,1
501021251,Dalyellup,5,510,South West,5,1.0,False,1
501021252,Gelorup - Stratham,5,510,South West,5,1.0,False,1
501021253,South Bunbury - Bunbury,5,510,South West,5,1.0,False,1
501021254,Withers - Usher,5,510,South West,5,1.0,False,1
501031017,Bridgetown - Boyup Brook,5,510,South West,5,0.9997475798827662,True,3
501031017,Bridgetown - Boyup Brook,5,515,Lower Great Southern,5,5.213236040307034e-05,True,3
501031017,Bridgetown - Boyup Brook,5,520,Upper Great Southern,5,0.0002002877568308307,True,3
501031018,Donnybrook - Balingup,5,510,South West,5,1.0,False,1
501031019,Manjimup,5,510,South West,5,1.0,False,1
501031020,Pemberton,5,510,South West,5,0.9998377984507528,True,2
501031020,Pemberton,5,515,Lower Great Southern,5,0.00016220154924712638,True,2
502011021,Dawesville - Bouvard,5,510,South West,5,1.0,False,1
502011022,Falcon - Wannanup,5,510,South West,5,1.0,False,1
502011023,Greenfields,5,510,South West,5,1.0,False,1
502011024,Halls Head - Erskine,5,510,South West,5,1.0,False,1
502011025,Mandurah,5,510,South West,5,1.0,False,1
502011026,Mandurah - East,5,510,South West,5,1.0,False,1
502011027,Mandurah - North,5,505,Perth,5,3.5754595586476237e-07,True,2
502011027,Mandurah - North,5,510,South West,5,0.9999996424540442,True,2
502011028,Mandurah - South,5,510,South West,5,1.0,False,1
502011029,Pinjarra,5,510,South West,5,1.0,False,1
503011030,City Beach,5,505,Perth,5,1.0,False,1
503011031,Claremont (WA),5,505,Perth,5,1.0,False,1
503011032,Cottesloe,5,505,Perth,5,1.0,False,1
503011033,Floreat,5,505,Perth,5,1.0,False,1
503011034,Mosman Park - Peppermint Grove,5,505,Perth,5,1.0,False,1
503011035,Nedlands - Dalkeith - Crawley,5,505,Perth,5,1.0,False,1
503011036,Swanbourne - Mount Claremont,5,505,Perth,5,1.0,False,1
503021037,Kings Park (WA),5,505,Perth,5,1.0,False,1
503021038,Mount Hawthorn - Leederville,5,505,Perth,5,1.0,False,1
503021039,Mount Lawley - Inglewood,5,505,Perth,5,1.0,False,1
503021040,North Perth,5,505,Perth,5,1.0,False,1
503021042,Subiaco - Shenton Park,5,505,Perth,5,1.0,False,1
503021043,Wembley - West Leederville - Glendalough,5,505,Perth,5,1.0,False,1
503021295,East Perth,5,505,Perth,5,1.0,False,1
503021296,Perth (North) - Highgate,5,505,Perth,5,1.0,False,1
503021297,Perth (West) - Northbridge,5,505,Perth,5,1.0,False,1
504011044,Bassendean - Eden Hill - Ashfield,5,505,Perth,5,1.0,False,1
504011045,Bayswater - Embleton - Bedford,5,505,Perth,5,1.0,False,1
504011046,Maylands,5,505,Perth,5,1.0,False,1
504011047,Morley,5,505,Perth,5,1.0,False,1
504011048,Noranda,5,505,Perth,5,1.0,False,1
504021049,Chidlow,5,505,Perth,5,0.9999999554662277,True,2
504021049,Chidlow,5,525,Midlands,5,4.453377228266148e-08,True,2
