station_id,sa2_name,sa3_name,sa4_name
008002,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008005,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008007,Morawa,Mid West,Western Australia - Outback (South)
008008,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008009,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008013,Morawa,Mid West,Western Australia - Outback (South)
008014,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008028,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008037,Morawa,Mid West,Western Australia - Outback (South)
008050,Geraldton,Mid West,Western Australia - Outback (South)
008052,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008060,Morawa,Mid West,Western Australia - Outback (South)
008061,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008065,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008066,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008067,Morawa,Mid West,Western Australia - Outback (South)
008072,Morawa,Mid West,Western Australia - Outback (South)
008075,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008077,Morawa,Mid West,Western Australia - Outback (South)
008085,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008087,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008095,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008100,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008107,Morawa,Mid West,Western Australia - Outback (South)
008113,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008121,Morawa,Mid West,Western Australia - Outback (South)
008137,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008139,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008143,Morawa,Mid West,Western Australia - Outback (South)
008147,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008157,Morawa,Mid West,Western Australia - Outback (South)
008168,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008179,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008200,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008202,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008237,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008240,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008254,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008273,Morawa,Mid West,Western Australia - Outback (South)
008274,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008275,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008280,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008283,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008286,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008294,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008295,Morawa,Mid West,Western Australia - Outback (South)
008296,Morawa,Mid West,Western Australia - Outback (South)
008297,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008298,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008299,Morawa,Mid West,Western Australia - Outback (South)
008300,Irwin,Mid West,Western Australia - Outback (South)
008301,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008302,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
008304,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008306,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008307,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008308,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback (South)
008309,Morawa,Mid West,Western Australia - Outback (South)
008310,Morawa,Mid West,Western Australia - Outback (South)
008315,Geraldton,Mid West,Western Australia - Outback (South)
008316,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
008317,Moora,Wheat Belt - North,Western Australia - Wheat Belt
008318,Moora,Wheat Belt - North,Western Australia - Wheat Belt
009014,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
009018,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
009033,Moora,Wheat Belt - North,Western Australia - Wheat Belt
009037,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
009210,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
009248,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt
009268,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt
009274,Chittering,Wheat Belt - North,Western Australia - Wheat Belt
009279,Moora,Wheat Belt - North,Western Australia - Wheat Belt
009504,Bridgetown - Boyup Brook,Manjimup,Bunbury
009507,Brookton,Wheat Belt - South,Western Australia - Wheat Belt
009542,Esperance Region,Esperance,Western Australia - Outback (South)
009561,Plantagenet,Albany,Western Australia - Wheat Belt
009579,Esperance Region,Esperance,Western Australia - Outback (South)
009581,Plantagenet,Albany,Western Australia - Wheat Belt
009584,Esperance Region,Esperance,Western Australia - Outback (South)
009587,Bridgetown - Boyup Brook,Manjimup,Bunbury
009607,Plantagenet,Albany,Western Australia - Wheat Belt
009626,Esperance Region,Esperance,Western Australia - Outback (South)
009631,Esperance Region,Esperance,Western Australia - Outback (South)
009635,Kojonup,Albany,Western Australia - Wheat Belt
009739,Esperance Region,Esperance,Western Australia - Outback (South)
009772,Esperance Region,Esperance,Western Australia - Outback (South)
009804,Esperance Region,Esperance,Western Australia - Outback (South)
009815,Esperance Region,Esperance,Western Australia - Outback (South)
009822,Esperance Region,Esperance,Western Australia - Outback (South)
009843,Kojonup,Albany,Western Australia - Wheat Belt
009850,Plantagenet,Albany,Western Australia - Wheat Belt
009865,Gnowangerup,Albany,Western Australia - Wheat Belt
009867,Esperance Region,Esperance,Western Australia - Outback (South)
009868,Esperance Region,Esperance,Western Australia - Outback (South)
009914,Wagin,Wheat Belt - South,Western Australia - Wheat Belt
009922,Esperance Region,Esperance,Western Australia - Outback (South)
009954,Esperance Region,Esperance,Western Australia - Outback (South)
009967,Plantagenet,Albany,Western Australia - Wheat Belt
010000,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010006,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010007,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010009,Moora,Wheat Belt - North,Western Australia - Wheat Belt
010011,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010012,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010016,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010019,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010026,Moora,Wheat Belt - North,Western Australia - Wheat Belt
010031,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010032,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010036,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010040,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010041,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010043,York - Beverley,Wheat Belt - North,Western Australia - Wheat Belt
010044,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010045,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010052,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010053,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010055,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010058,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010061,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010064,Moora,Wheat Belt - North,Western Australia - Wheat Belt
010073,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010076,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010077,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010089,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010092,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010097,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010102,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010104,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010108,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010111,Northam,Wheat Belt - North,Western Australia - Wheat Belt
010112,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010119,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010121,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010122,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010123,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010124,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010125,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt
010126,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010129,Northam,Wheat Belt - North,Western Australia - Wheat Belt
010132,York - Beverley,Wheat Belt - North,Western Australia - Wheat Belt
010134,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt
010135,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010136,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010140,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010141,Moora,Wheat Belt - North,Western Australia - Wheat Belt
010143,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010145,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010149,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010151,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010152,Northam,Wheat Belt - North,Western Australia - Wheat Belt
010158,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010192,Mukinbudin,Wheat Belt - North,Western Australia - Wheat Belt
010230,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010244,Northam,Wheat Belt - North,Western Australia - Wheat Belt
010245,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010250,Dowerin,Wheat Belt - North,Western Australia - Wheat Belt
010257,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010283,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010286,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010294,Cunderdin,Wheat Belt - North,Western Australia - Wheat Belt
010304,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt
010307,York - Beverley,Wheat Belt - North,Western Australia - Wheat Belt
010308,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt
010311,York - Beverley,Wheat Belt - North,Western Australia - Wheat Belt
010502,Gnowangerup,Albany,Western Australia - Wheat Belt
010503,Merredin,Wheat Belt - North,Western Australia - Wheat Belt
010505,Wagin,Wheat Belt - South,Western Australia - Wheat Belt
010508,Katanning,Albany,Western Australia - Wheat Belt
010510,Wagin,Wheat Belt - South,Western Australia - Wheat Belt
010513,Kulin,Wheat Belt - South,Western Australia - Wheat Belt
