SA2_CODE21,SA2_NAME21
501021007,Capel
501031017,Bridgetown - Boyup Brook
509011226,Albany Surrounds
509011229,Gnowangerup
509011230,Katanning
509011231,Kojonup
509011234,Plantagenet
509021236,Chittering
509021237,Cunderdin
509021238,Dowerin
509021239,Gingin - Dandaragan
509021240,Merredin
509021241,Moora
509021242,Mukinbudin
509021243,Northam
509021244,Toodyay
509021245,York - Beverley
509031246,Brookton
509031247,Kulin
509031249,Narrogin
509031250,Wagin
511011274,Esperance
511011275,Esperance Surrounds
511041285,Geraldton
511041287,Geraldton - North
511041289,Irwin
511041291,Morawa
511041292,Northampton - Mullewa - Greenough
