Station number,Lat,Lon,Station name,SA2_5DIG16,SA2_NAME16,STE_CODE16,STE_NAME16,2010_11_area
8002,-30.6,116.77,BALLIDU,51238,Dowerin,5,Western Australia,409182
8005,-30.73,116.02,BARBERTON,51241,Moora,5,Western Australia,407510
8007,-28.9,115.81,PINDAWA,51291,Morawa,5,Western Australia,480419
8008,-30.58,116.14,BERKSHIRE VALLEY,51241,Moora,5,Western Australia,407510
8009,-30.63,116.39,BINDI BINDI EAST,51241,Moora,5,Western Australia,407510
8013,-29.33,116.14,BOWGADA,51291,Morawa,5,Western Australia,480419
8014,-30.22,116.78,DALWALLINU NORTH,51241,Moora,5,Western Australia,407510
8028,-28.5,114.79,NABAWA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8037,-29.88,116.02,COOROW,51291,Morawa,5,Western Australia,480419
8050,-28.78,114.61,GERALDTON TOWN,51285,Geraldton,5,Western Australia,4480
8052,-28.17,114.76,GLENEVA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8060,-29.04,115.55,SOUTH HOLMWOOD,51291,Morawa,5,Western Australia,480419
8061,-30.28,116.63,HYDE PARK,51241,Moora,5,Western Australia,407510
8065,-28.43,114.65,ISSEKA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8066,-30.7,117.06,KOKARDINE,51238,Dowerin,5,Western Australia,409182
8067,-29.94,116.2,KOOBABBIE,51291,Morawa,5,Western Australia,480419
8072,-29.76,116.44,LATHAM,51291,Morawa,5,Western Australia,480419
8075,-28.21,114.31,LYNTON,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8077,-29.6,115.94,HIGHFIELDS,51291,Morawa,5,Western Australia,480419
8085,-30.49,116.36,MILING,51241,Moora,5,Western Australia,407510
8087,-30.42,116.46,MINDALLA,51241,Moora,5,Western Australia,407510
8095,-28.54,115.51,MULLEWA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8100,-28.35,114.64,NORTHAMPTON,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8107,-29.44,116.29,PERENJORI,51291,Morawa,5,Western Australia,480419
8113,-27.83,114.74,RIVERSIDE,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8121,-29.53,115.76,THREE SPRINGS,51291,Morawa,5,Western Australia,480419
8137,-30.89,116.72,WONGAN HILLS,51238,Dowerin,5,Western Australia,409182
8139,-30.11,116.63,WUBIN,51241,Moora,5,Western Australia,407510
8143,-29.29,115.63,YANDANOOKA,51291,Morawa,5,Western Australia,480419
8147,-28.33,114.96,YUNA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8157,-28.9,115.86,CANNA,51291,Morawa,5,Western Australia,480419
8168,-28.55,114.62,HOWATHARRA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8179,-30.66,116.93,EAST KONDUT,51238,Dowerin,5,Western Australia,409182
8200,-28.69,115.04,ERADU,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8202,-30.62,116.38,BINDI BINDI NORTH,51241,Moora,5,Western Australia,407510
8237,-28.69,115.28,TENINDEWA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8240,-28.89,115.45,COOLANGATTA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8254,-30.71,116.77,KONDUT,51238,Dowerin,5,Western Australia,409182
8273,-29.36,115.45,ARENA,51291,Morawa,5,Western Australia,480419
8274,-28.42,114.82,NARALING,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8275,-30.37,116.27,ANRO,51241,Moora,5,Western Australia,407510
8280,-27.57,114.67,EURARDY,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8283,-30.15,116.38,KARAWA,51241,Moora,5,Western Australia,407510
8286,-28.28,114.68,WUNDI,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8294,-28.21,115.29,WANDANA,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8295,-29.21,115.26,STRAWBERRY,51291,Morawa,5,Western Australia,480419
8296,-29.2,116.02,MORAWA AIRPORT,51291,Morawa,5,Western Australia,480419
8297,-30.28,116.67,DALWALLINU,51241,Moora,5,Western Australia,407510
8298,-28.76,114.94,TIBRADDEN,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8299,-29.11,115.32,ARRADALE,51291,Morawa,5,Western Australia,480419
8300,-29.07,115.09,TABLETOP,51289,Irwin,5,Western Australia,19021
8301,-30.75,116.13,BARBERTON EAST,51241,Moora,5,Western Australia,407510
8302,-30.85,116.72,WONGAN HILLS NORTH,51238,Dowerin,5,Western Australia,409182
8304,-28.96,114.95,MOASCAR,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8306,-28.06,115.19,DARTMOOR SOUTH,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8307,-28.89,115.44,COOLANGATTA ALERT,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8308,-28.8,115.76,TARDUN HILL,51292,Northampton - Mullewa - Greenough,5,Western Australia,423223
8309,-29.3,115.66,BELLENDAINE,51291,Morawa,5,Western Australia,480419
8310,-29.03,115.55,SOUTH HOLMWOOD ALERT,51291,Morawa,5,Western Australia,480419
8315,-28.8,114.7,GERALDTON AIRPORT,51285,Geraldton,5,Western Australia,4480
8316,-30.38,115.85,YALLALIE BASIN,51239,Gingin - Dandaragan,5,Western Australia,23234
8317,-30.36,116.29,ANRO TBRG,51241,Moora,5,Western Australia,407510
8318,-30.42,116.46,MINDALLA TBRG,51241,Moora,5,Western Australia,407510
9014,-30.7,115.58,DANDARAGAN WEST,51239,Gingin - Dandaragan,5,Western Australia,23234
9018,-31.35,115.9,GINGIN,51239,Gingin - Dandaragan,5,Western Australia,23234
9033,-30.97,116.22,NEW NORCIA,51241,Moora,5,Western Australia,407510
9037,-30.34,115.54,BADGINGARRA RESEARCH STN,51239,Gingin - Dandaragan,5,Western Australia,23234
9210,-30.89,115.58,LAKE NAMMEN,51239,Gingin - Dandaragan,5,Western Australia,23234
9248,-31.33,115.95,MOONDAH BROOK,51239,Gingin - Dandaragan,5,Western Australia,23234
9268,-31.46,116.37,JULIMAR FOREST,51244,Toodyay,5,Western Australia,11970
9274,-31.26,116.13,MINSTON PARK,51236,Chittering,5,Western Australia,5408
9279,-31,116.23,CANTERBURY,51241,Moora,5,Western Australia,407510
9504,-33.83,116.39,BOYUP BROOK,51017,Bridgetown - Boyup Brook,5,Western Australia,2430
9507,-32.68,116.52,BANNISTER,51246,Brookton,5,Western Australia,132769
9542,-33.68,121.83,ESPERANCE AERO,51275,Esperance Region,5,Western Australia,381876
9561,-34.49,117.63,KENDENUP,51234,Plantagenet,5,Western Australia,8628
9579,-33.76,122.07,OAKE MARSH FARM,51275,Esperance Region,5,Western Australia,381876
9581,-34.63,117.64,MOUNT BARKER,51234,Plantagenet,5,Western Australia,8628
9584,-33.74,122,MYRUP,51275,Esperance Region,5,Western Australia,381876
9587,-34,116.43,NEWBICUP,51017,Bridgetown - Boyup Brook,5,Western Australia,2430
